Genesis 1:1	Mwanzo hapo, Mungu aliumba mbingu na dunia.
Genesis 1:2	Kwa wakati huo, dunia ilikuwa tupu haikuwa na kitu, haikuwa na umbo lolote. Giza lilikuwa limefunika vilindi vya maji, na Roho wa Mungu ilikuwa imetanda juu yake.
Genesis 1:3	Kisha Mungu akasema kwamba, “Kuwepo mwanga.” Mwanga ukawapo.
Genesis 1:4	Mungu akaona kuwa mwanga huo ni mzuri, akatenganisha mwanga na giza.
Genesis 1:5	Ndipo akaita mwanga “Mchana,” na akaita giza, “Usiku.” Ikawa jioni, ikawa asubuhi, mwisho wa siku ya kwanza.
Genesis 1:6	Kisha Mungu akasema kwamba, “Kuwepo nafasi kati ya maji, igawanye maji ya angani na maji ya duniani.”
Genesis 1:7	Hivyo, aliumba nafasi hiyo, na akagawanya maji. Mengine yakawa juu, na mengine yakawa chini. Ikawa hivyo.
Genesis 1:8	Akaita nafasi hiyo “Anga.” Ikawa jioni, ikawa asubuhi, mwisho wa siku ya pili.
Genesis 1:9	Kisha Mungu akasema kwamba, “Maji yaliyo chini ya anga, yakusanyike pamoja, ili mahali pakavu paonekane.” Ikawa hivyo.
Genesis 1:10	Akaita mahali pakavu hapo “Nchi.” Na mahali ambapo maji yalikusanyika, akapaita “Bahari.” Mungu akaona kwamba ni vizuri.
Genesis 1:11	Kisha Mungu akasema kwamba, “Nchi ioteshe mimea yenye mbegu ya aina zote na miti ya matunda ambayo yana mbegu.” Ikawa hivyo.
Genesis 1:12	Mimea ya mbegu za aina zote ikaota nchini, na miti ya matunda ambayo yana mbegu za aina zote ikaota nchini. Mungu akaona kwamba ni vizuri.
Genesis 1:13	Ikawa jioni, ikawa asubuhi, mwisho wa siku ya tatu.
Genesis 1:14	Kisha Mungu akasema kwamba, “Kuwepo mianga angani, igawanye usiku na mchana, ili iwe inaonyesha nyakati, siku na miaka.
Genesis 1:15	Mianga hiyo iwe angani, iangazie dunia.” Ikawa hivyo.
Genesis 1:16	Hivyo Mungu aliumba mianga miwili mikubwa, jua liangaze wakati wa mchana, na mwezi uangaze wakati wa usiku. Akaumba na nyota pia.
Genesis 1:17	Akaweka mianga hiyo angani, iwe inaangaza duniani,
Genesis 1:18	ili iweze kuangaza mchana na usiku, tena itenganishe mwanga na giza. Mungu akaona kwamba ni vizuri.
Genesis 1:19	Ikawa jioni, ikawa asubuhi, mwisho wa siku ya nne.
Genesis 1:20	Kisha Mungu akasema kwamba, “Maji yajae viumbe wenye uhai, na ndege wawe wakiruka angani juu ya dunia yote.”
Genesis 1:21	Akaumba samaki kubwa, na viumbe vyote vyenye uhai vya aina zote, wakawa wanaogelea na kujaa majini. Akaumba ndege pia za aina zote. Mungu akaona kwamba ni vizuri.
Genesis 1:22	Mungu akawabariki akasema kwamba, “Muzae, mukaongezeke, mjae katika bahari. Na ndege waongezeke duniani.”
Genesis 1:23	Ikawa jioni, ikawa asubuhi, mwisho wa siku ya tano.
Genesis 1:24	Kisha Mungu akasema kwamba, “Nchi iwe na aina zote za wanyama wenye uhai, wakiwemo wanyama wa kufugwa, viumbe ambavyo vinatambaa chini, na wanyama wa porini.” Ikawa hivyo.
Genesis 1:25	Hivyo, Mungu aliumba aina zote za wanyama, wanyama wa porini, wanyama wa kufugwa, na viumbe ambavyo vinatambaa chini. Mungu akaona kwamba ni vizuri.
Genesis 1:26	Kisha Mungu akasema kwamba, “Tumfanye mtu kwa mfano wetu, afanane na sisi. Atawale samaki wa bahari, ndege wa anga, wanyama wa kufugwa, viumbe vyote ambavyo vinatambaa chini, na atawale dunia yote.”
Genesis 1:27	Ndipo Mungu akaumba mtu kwa mfano wake. Kwa mfano wake Mungu aliumba mwanaume na mwanamke.
Genesis 1:28	Akawabariki na kuwaambia kwamba, “Muzae, mukaongezeke, mjaze dunia na kuitiisha. Mtawale samaki wa bahari, ndege wa anga, na viumbe hai vyote ambavyo vinatembea chini.”
Genesis 1:29	Kisha Mungu akasema kwamba, “Tazama, nimewapa mimea yote ambayo ina mbegu katika dunia hii, pamoja na miti ya matunda ambayo yana mbegu. Vyote vitakuwa vyakula vyenu.
Genesis 1:30	Wanyama wote wa dunia, na ndege wote wa anga, na viumbe hai vyote ambavyo vinatambaa chini, nimevipa mimea yote ya kijani viwe vyakula vyao.” Ikawa hivyo.
Genesis 1:31	Mungu akaona kila kitu ambacho aliumba kwamba ni kizuri sana. Ikawa jioni, ikawa asubuhi, mwisho wa siku ya sita.
Genesis 2:1	Hivyo ndivyo mbingu na dunia viliumbwa, mpaka vitu vyote vilivyomo vikakamilika.
Genesis 2:2	Siku ya saba, Mungu alikuwa amemaliza kazi yake ya uumbaji. Kwa siku hiyo, akapumzika kufanya kazi.
Genesis 2:3	Mungu akabariki siku ya saba na kuitakasa, kwa kuwa kwa siku hiyo, alikuwa amemaliza kuumba vitu vyote, akapumzika.
Genesis 2:4	Hivyo ndivyo mbingu na dunia viliumbwa. Wakati ambao Bwana Mungu aliumba dunia na mbingu,
Genesis 2:5	haikuwepo mimea yoyote wala mboga za majazi duniani, kwa kuwa katika siku hizo, Bwana Mungu alikuwa hajaleta mvua, na hakuwepo mtu wa kulima ardhi.
Genesis 2:6	Wakati huo, umande ulitokeza ardhini kutoka chini, ukalowanisha ardhi yote.
Genesis 2:7	Basi, Bwana Mungu akafinyanga mtu kutoka katika mavumbi ya ardhi, akampulizia pumzi ya uhai puani, mtu huyo akawa hai.
